"Date","Return","Vol_HAR","VaR_HAR_1","ES_HAR_1","VaR_HAR_5","ES_HAR_5","RV_AAPL"
2012-12-20,1.5687306593,1.92494287763879,-4.93931162408213,-5.8341946654671,-3.21669540392567,-4.25297216364037,2.33550646836099
2012-12-21,-2.5572664505,1.85104871029322,-4.74290261469334,-5.60392853063136,-3.08642220148498,-4.08298896003356,1.65950676201618
2012-12-24,-0.64305672768,1.83520347988558,-4.70083984554596,-5.55448972841381,-3.0581583936773,-4.04649038472802,0.711145254508665
2012-12-26,2.1832094582,1.73686851576177,-4.43812055615828,-5.24624568832773,-2.88386247807688,-3.81900964502469,1.30812610168041
2012-12-27,-0.44108846159,1.51206096679188,-3.83782966901001,-4.54225167983864,-2.4857600835018,-3.2994001445703,1.75399054457866
2012-12-28,-1.7272727271,1.48760303596747,-3.77185085273288,-4.46485393153517,-2.4420025092153,-3.24225476613274,1.05636660935845
2012-12-31,-3.756159263,1.49609138520759,-3.79491626450033,-4.49172527848223,-2.45712198393145,-3.26214426473848,3.85463182156424
2013-01-02,1.772480649,1.40264200223989,-3.55397011114949,-4.20634481428763,-2.29964197634403,-3.05748334419296,2.32798010349097
2013-01-03,2.9046123007,1.64378567003976,-4.19888655178565,-4.96360558602405,-2.72900778430122,-3.61717728878617,1.43399467183315
2013-01-04,-1.4216145347,1.61715571525743,-4.12739526556014,-4.88002041819701,-2.68146271339947,-3.5553103255858,1.73064969026435
2013-01-07,-0.87017157175,1.5736334909252,-4.01111444227108,-4.74365778086953,-2.60405209899502,-3.45447793786476,3.15809214558826
2013-01-08,-0.46004620781,1.5905400097301,-4.05618830714952,-4.79612346814074,-2.6340371367296,-3.4933729121559,2.41267136767811
2013-01-09,0.16136175436,1.73610004409035,-4.44542450072365,-5.25327698217526,-2.89326977701047,-3.83126855861906,1.53437380516119
2013-01-10,-1.3781124559,1.64345158053353,-4.19760300349022,-4.96260446143504,-2.72828741160374,-3.61633626384394,2.5761658561463
2013-01-11,0.40165731152,1.55255275207949,-3.9541701853123,-4.67666700063069,-2.5661590660827,-3.4049867237179,1.21659939869402
2013-01-14,-1.0621675144,1.63916025652331,-4.18670529670866,-4.95000284601678,-2.72108715123128,-3.60700165325974,3.16912447949613
2013-01-15,4.4317461987,1.53761144689848,-3.9146072642483,-4.63054854087634,-2.5398593942757,-3.37083082680553,3.03284076941052
2013-01-16,3.16759835,1.64449980163642,-4.20038228987239,-4.96606878995391,-2.73015692729115,-3.61884835643036,1.96146014824347
2013-01-17,-1.2629728794,1.65733874564024,-4.23465231906817,-5.00626876143073,-2.75301221369611,-3.64858444182543,1.73980123954903
2013-01-18,-2.78472868,1.61254735595945,-4.11535250319278,-4.86615235297103,-2.67358621607799,-3.54504018055408,0.873170310622465
2013-01-22,-0.58823529398,1.56768203881641,-3.99573890944436,-4.72627056313372,-2.59968136039725,-3.44302866200525,1.76048438831017
2013-01-23,0.26913533093,1.49636857123569,-3.80530533739647,-4.5028900701671,-2.47260048236183,-3.27780752212129,2.07135934718011
2013-01-24,-1.5628866764,1.49423218364114,-3.79954077558533,-4.4958275688594,-2.46889423490358,-3.27265927452107,6.24490562894081
2013-01-25,1.2396054921,1.47758189879977,-3.75418019016507,-4.44166900681531,-2.43881676319932,-3.23276589802224,6.08767319522753
2013-01-28,-0.61316880283,1.84397640884868,-4.73427962432919,-5.59204475006012,-3.09282512771899,-4.08346347500967,4.74225148347969
2013-01-29,-3.5652508169,1.96813945846349,-5.06650657860752,-5.98191617231955,-3.31456499608447,-4.37179523549329,2.27979923524802
2013-01-30,-3.1549576483,2.02082008020089,-5.20837472338758,-6.14884211438609,-3.42260571019612,-4.49634658057843,2.2918434351172
2013-01-31,4.1508890352,1.92771999567682,-4.96027698169433,-5.8577475148962,-3.25637318467066,-4.28098495948405,1.31069793649507
2013-02-01,-0.67379319871,1.9350048001093,-4.9801643039219,-5.88167112465378,-3.26984617322424,-4.29860794072718,2.13329168476198
2013-02-04,-0.53314235702,1.74282855520866,-4.46596304279048,-5.27800015633496,-2.92545382922842,-3.85209147879866,2.22586324667059
2013-02-05,0.95400000009,1.65512880855048,-4.23148013271761,-5.00267102157562,-2.76841667201082,-3.64846259833198,2.48978339713707
2013-02-06,1.8295461297,1.57511359237889,-4.0173322375778,-4.75124448039121,-2.62500002531929,-3.46250233225715,3.57229124847569
