"Date","Return","Vol_GARCH","Vol_MSGARCH","Vol_GAS","VaR_GARCH_1","VaR_MSGARCH_1","VaR_GAS_1","ES_GARCH_1","ES_MSGARCH_1","ES_GAS_1","VaR_GARCH_5","VaR_MSGARCH_5","VaR_GAS_5","ES_GARCH_5","ES_MSGARCH_5","ES_GAS_5","RV_AAPL"
2012-12-20,1.5687306593,2.58165328289742,2.49794108076972,2.44180333934836,-6.07310434474255,-5.83856726358162,-5.70371347854963,-7.67533229484142,-7.3831251802444,-7.18309071971028,-3.79547441821723,-3.67153943808237,-3.64130563016454,-5.23746627193707,-5.02836934854535,-4.90371897511925,2.33550646836099
2012-12-21,-2.5572664505,2.53741564271086,2.39154819412848,2.39495057971707,-5.96268762410812,-5.54252069912631,-5.59605654337646,-7.53690395043091,-7.03133918950229,-7.04991681522386,-3.72468924636053,-3.48044464100103,-3.57085098468458,-5.14238391848935,-4.79135574985041,-4.81313935329842,1.65950676201618
2012-12-24,-0.64305672768,2.54887038176084,2.53216140992116,2.46349205579402,-5.99104237831611,-5.73520507824372,-5.76008621698019,-7.57353489709928,-7.27352062623002,-7.25358400225796,-3.74401625253419,-3.66050018457912,-3.67812432222898,-5.1667298449318,-4.9777251039344,-4.95271501819525,0.711145254508665
2012-12-26,2.1832094582,2.49157603506211,2.43001723259492,2.39142546889947,-5.85729675217872,-5.4962351179789,-5.58558419394464,-7.40261957914277,-6.97050106787632,-7.03246068065689,-3.65733406719356,-3.50542068185325,-3.56176350330554,-5.04764924104711,-4.76659882617157,-4.79848988104806,1.30812610168041
2012-12-27,-0.44108846159,2.47026576109254,2.3429609020433,2.39645754264175,-5.80771746734934,-5.41400222556852,-5.59494250165386,-7.34046273081821,-6.86013830031136,-7.04423957065366,-3.62604324929785,-3.38165074912224,-3.56855746347878,-5.00374347195954,-4.67575137419186,-4.80568031986031,1.75399054457866
2012-12-28,-1.7272727271,2.41588037270989,2.33107972272722,2.31964690429083,-5.67625619148559,-5.27030147526351,-5.41122940740261,-7.17413764924191,-6.67516300628867,-6.81496355490253,-3.54112916406269,-3.35693785010948,-3.44798854260877,-4.88858512938492,-4.56128730774128,-4.64784063976031,1.05636660935845
2012-12-31,-3.756159263,2.39547729411666,2.26322405580997,2.32564007961268,-5.62819538491689,-5.18642323720038,-5.42482298743767,-7.11448273254656,-6.58189226988223,-6.83001363743583,-3.51121071848842,-3.27054219156707,-3.45614582010142,-4.84614708098766,-4.48816941061279,-4.65698325937311,3.85463182156424
2013-01-02,1.772480649,2.49386677405299,2.50474006830206,2.4954768536362,-5.86320020602551,-5.6656160838787,-5.82955729220292,-7.41307894312796,-7.18808279503884,-7.335568942092,-3.66918113963616,-3.6180213127985,-3.72675083856273,-5.05312504140597,-4.91841922762109,-5.00725579247666,2.32798010349097
2013-01-03,2.9046123007,2.45825158555996,2.42618183761216,2.46267486108741,-5.77857246642187,-5.57940051335312,-5.74826133647554,-7.30686328979631,-7.06012752594487,-7.23363097091582,-3.61560052195885,-3.52773402519974,-3.67510736366638,-4.97874954107536,-4.8208051099277,-4.93582764555806,1.43399467183315
2013-01-04,-1.4216145347,2.47228332871324,2.48590644936591,2.52147179264674,-5.80783556049043,-5.72613846860593,-5.88484166379624,-7.35093969248222,-7.23636900744804,-7.4060487782058,-3.63613373092288,-3.61844954636662,-3.76525237439286,-5.00820163829171,-4.94191426699186,-5.05378995700069,1.73064969026435
