"Date","Return","Vol_HAR","VaR_HAR_1","ES_HAR_1","VaR_HAR_5","ES_HAR_5","RV_APPLE"
2012-12-06,1.5687306593,1.51598290221031,-3.86920118058436,-5.28748867252136,-2.56910093604909,-4.08680023719009,10.1287912990905
2012-12-07,-2.5572664505,1.9059099010792,-4.9162075691261,-6.58899600751778,-3.28140344072471,-4.74594651047881,7.19073133342427
2012-12-10,-0.64305672768,2.27081273165449,-5.89654177176562,-7.81541179149545,-3.94831087322266,-5.34414157337677,6.32514518268347
2012-12-11,2.1832094582,2.31780047562583,-6.02214905757497,-7.81541179149545,-4.03366975756039,-5.51452857590568,3.2568649161134
2012-12-12,-0.44108846159,2.40958731665173,-6.26827238462877,-7.9807714346,-4.20131039131738,-5.79771713516712,3.30064320099759
2012-12-13,-1.7272727271,2.32055876232244,-6.03008788578428,-7.81541179149545,-4.03978804385384,-5.53152515666897,3.01325701941911
2012-12-14,-3.756159263,2.23637510206053,-5.80483843635936,-7.65182915170417,-3.88633109456596,-5.32983264232,3.69672689431181
2012-12-17,1.772480649,2.042388487345,-5.28416247497917,-7.01122782036571,-3.53890725187516,-4.91802107537985,5.81240149587402
2012-12-18,2.9046123007,1.97725655568614,-5.10862124992103,-6.70425977922143,-3.41917002899681,-4.83616793163169,2.98010984364307
2012-12-19,-1.4216145347,2.0579630855401,-5.32504119317851,-7.01122782036571,-3.56693466318634,-4.96010151957538,2.23541974242269
2012-12-20,-0.87017157175,1.92563581215017,-4.96988188819446,-6.66500716633023,-3.32483950875713,-4.76819737677584,2.33550646836099
2012-12-21,-0.46004620781,1.85221957324338,-4.77315244626231,-6.44748779562449,-3.19063730800799,-4.70116053274038,1.65950676201618
2012-12-24,0.16136175436,1.83617793728753,-4.72978618399293,-6.34914859886154,-3.16133694894112,-4.68910499415732,0.711145254508665
2012-12-26,-1.3781124559,1.73764065952328,-4.46520253109697,-6.14041916449831,-2.98106372934115,-4.55749508577485,1.30812610168041
2012-12-27,0.40165731152,1.51305921423944,-3.86218609155077,-5.27378901900385,-2.56986165344765,-4.08765968150647,1.75399054457866
2012-12-28,-1.0621675144,1.48810295823856,-3.79552180049452,-5.2069635313,-2.52440250334281,-4.03033107717178,1.05636660935845
2012-12-31,4.4317461987,1.49643723866858,-3.81759507074381,-5.24672385170094,-2.53950825875925,-4.04889680915168,3.85463182156424
2013-01-02,3.16759835,1.40280575910101,-3.56572065947739,-4.96010151957538,-2.36768668689891,-3.81762344761583,2.32798010349097
2013-01-03,-1.2629728794,1.64353425597965,-4.21225718212756,-5.79771713516712,-2.80864928075765,-4.34487822655102,1.43399467183315
2013-01-04,-2.78472868,1.61721514984925,-4.14230532750988,-5.61864400285976,-2.76093064159369,-4.30592955564428,1.73064969026435
2013-01-07,-0.58823529398,1.57404351908343,-4.02607659405579,-5.49715283056742,-2.70303468960244,-4.21825130437877,3.15809214558826
2013-01-08,0.26913533093,1.59066479574675,-4.07087961845777,-5.56577792372471,-2.73359878665948,-4.25446657453285,2.41267136767811
2013-01-09,-1.5628866764,1.73588632308826,-4.46131176250867,-6.11247886825,-3.00191380885155,-4.57888521162857,1.53437380516119
2013-01-10,1.2396054921,1.64305303187655,-4.21247855391663,-5.79771713516712,-2.83147093446871,-4.36209063852953,2.5761658561463
2013-01-11,-0.61316880283,1.552412642146,-3.96849068945143,-5.43223990313763,-2.6638861682747,-4.16910275204475,1.21659939869402
2013-01-14,-3.5652508169,1.63923934276704,-4.20178967148963,-5.79771713516712,-2.82437860526099,-4.36209063852953,3.16912447949613
2013-01-15,-3.1549576483,1.53774535519672,-3.92969756005058,-5.35698243201122,-2.65314326906275,-4.16635797052136,3.03284076941052
2013-01-16,4.1508890352,1.64416735397934,-4.21635976849756,-5.79771713516712,-2.85672515946724,-4.38335267732722,1.96146014824347
2013-01-17,-0.67379319871,1.65675818083236,-4.24968736955298,-5.81963974343333,-2.8804457607289,-4.41578009593422,1.73980123954903
2013-01-18,-0.53314235702,1.61198700912475,-4.13003938299867,-5.60075716293976,-2.797827495534,-4.33619595655838,0.873170310622465
2013-01-22,0.95400000009,1.56733518177638,-4.01045019936996,-5.49715283056742,-2.71506240671243,-4.21725820358639,1.76048438831017
2013-01-23,1.8295461297,1.49642682906165,-3.82001864922705,-5.25778086526762,-2.5832882032116,-4.0952229055658,2.07135934718011
2013-01-24,-12.354938181,1.49381520574253,-3.81349513357297,-5.25778086526762,-2.5786221925311,-4.0952229055658,6.24490562894081
2013-01-25,-2.3573806881,1.47692119809427,-3.79586434675375,-5.28282775839908,-2.5506106797463,-4.08416759636276,6.08767319522753
2013-01-28,2.2619805401,1.84333568287366,-4.78405114643745,-6.565636803332,-3.22619714024712,-4.76416911089677,4.74225148347969
2013-01-29,1.8762643665,1.96790232386654,-5.12020420633071,-6.83567090484419,-3.45717547112893,-4.93651654931594,2.27979923524802
2013-01-30,-0.31422523844,2.02128284088531,-5.26509873897334,-7.10894892893784,-3.55654512699572,-5.01257747416412,2.2918434351172
2013-01-31,-0.29332574477,1.92884921097862,-5.0159366535896,-6.7943237803,-3.38519069646004,-4.84375917998571,1.31069793649507
2013-02-01,-0.41054688363,1.93617203995064,-5.03651284602666,-6.83567090484419,-3.39900777930352,-4.86327005011379,2.13329168476198
2013-02-04,-2.4919536176,1.7438722647472,-4.51716060620492,-6.27362990493051,-3.04218730874808,-4.63580304872917,2.22586324667059
2013-02-05,3.5106123225,1.65578699073786,-4.27942448545961,-5.95561694454366,-2.87893362620938,-4.45491187333404,2.48978339713707
2013-02-06,-0.10789701291,1.57556109255071,-4.062586969533,-5.6265734411954,-2.72986002287087,-4.29585183873413,3.57229124847569
2013-02-07,2.9733890477,1.59922478833458,-4.12646169540637,-5.68116407982143,-2.7737725503251,-4.34959426024876,4.47035938949291
2013-02-08,1.443765751,1.70211483015085,-4.40377200594367,-6.10451394291231,-2.96425329586905,-4.59801753107616,1.73714532151104
2013-02-11,1.0421491432,1.84527592162188,-4.7912298899465,-6.565636803332,-3.23036318129554,-4.7726244068026,2.08536832686616
2013-02-12,-2.5066155482,1.69798055571683,-4.39335120943095,-6.05356498991493,-2.95692813488973,-4.58857062606185,2.99127333887124
2013-02-13,-0.19021158369,1.71213854794043,-4.43172854713641,-6.18636776155,-2.98332464570512,-4.59801753107616,2.89035216670581
2013-02-14,-0.089933834352,1.77376790309039,-4.59801575521248,-6.36646312279821,-3.097540359228,-4.67374497882744,1.99025091270795
2013-02-15,-1.3780835423,1.74818589094718,-4.4983632497472,-6.27362990493051,-3.04735833701612,-4.63580304872917,1.16424412661595
2013-02-19,-0.036943671694,1.61935256957474,-4.15215477158985,-5.75805021846375,-2.8091692691404,-4.38133750295228,2.09064983927282
2013-02-20,-2.4217917781,1.55057966122895,-3.96733513305088,-5.50588562949787,-2.68160607808526,-4.22987729960184,1.65943415553387
2013-02-21,-0.62158850396,1.60135097956275,-4.10659939974357,-5.66282590099059,-2.77679803071368,-4.34959426024876,2.39526993302129
2013-02-22,1.0648791642,1.5308734371189,-3.91701075690737,-5.42766885371818,-2.6462578951733,-4.20861865557364,1.46998167836765
2013-02-25,-1.7768017568,1.55846840567212,-3.98904504415273,-5.53906382710978,-2.6976220297293,-4.25883510824742,1.50080917255148
2013-02-26,1.3934056007,1.48592491442283,-3.79442514052504,-5.28282775839908,-2.56320213267277,-4.10633055852936,3.37802291138288
2013-02-27,-0.98002093682,1.49935639737658,-3.82979787809797,-5.33901021507714,-2.58767896057644,-4.13973427934304,6.10549823516867
2013-02-28,-0.71304856383,1.64264252992199,-4.21651118293824,-5.88632823038108,-2.85448266676474,-4.43112234340053,1.61614299361823
2013-03-01,-2.4762120524,1.91581750665309,-4.9497245943917,-6.75357842531333,-3.36143501849874,-4.84758355253014,2.05775271712348
2013-03-04,-2.420610031,1.66282668298319,-4.27078125638888,-5.95561694454366,-2.8922161115999,-4.48195288418967,1.88436991844674
2013-03-05,2.6411141531,1.70436657632955,-4.38316246284292,-6.05356498991493,-2.96996383763454,-4.6003451145152,3.09962947425224
2013-03-06,-1.271500937,1.70694776854797,-4.38964163443582,-6.05356498991493,-2.97432918579524,-4.6003451145152,2.21660140059494
2013-03-07,1.1558466576,1.76411016061271,-4.54261021966464,-6.33486566894035,-3.07994971955232,-4.65741594917273,2.13832929626844
2013-03-08,0.26429344471,1.59184708137892,-4.07942824494366,-5.66171836393647,-2.75967661991859,-4.34155551709403,1.89175497669369
2013-03-11,1.4245344204,1.60258965069061,-4.11619300400016,-5.68024048596667,-2.784131315441,-4.3653505233702,2.33532225286564
2013-03-12,-2.1558910178,1.58175819638944,-4.06016688699993,-5.64316149559302,-2.74644414229266,-4.31820886533186,2.68168685294743
2013-03-13,-0.018672828628,1.61945194715914,-4.16157925857585,-5.81983025613766,-2.81671968042125,-4.40593430173471,2.02677465195674
2013-03-14,0.96883389742,1.62126167431111,-4.16621371363559,-5.81983025613766,-2.81995724585272,-4.40593430173471,1.64802001170554
2013-03-15,2.5803468208,1.5792545894275,-4.05235076366024,-5.64316149559302,-2.74121812650286,-4.31820886533186,1.39551735982024
2013-03-18,2.7182977956,1.53987433961115,-3.94582311542746,-5.44019607913367,-2.66716211215332,-4.22155839379401,2.0495815643156
2013-03-19,-0.26990257165,1.50451751432019,-3.84988190226961,-5.34996222903942,-2.60059933944351,-4.15150392831542,2.63444078553966
2013-03-20,-0.53026469241,1.53087714637032,-3.91910058316085,-5.41234281172887,-2.64752063973806,-4.19632661337604,1.37706356752987
2013-03-21,0.1437798619,1.56369694105483,-4.00748956999048,-5.55976791273977,-2.70880409396356,-4.24685070920524,1.6473323268054
2013-03-22,2.0276986284,1.46758233896926,-3.74840295408025,-5.19952988080625,-2.52944389546976,-4.06092201882321,1.03622893475681
2013-03-25,0.36154229183,1.48278405481201,-3.78865869394504,-5.26622674658972,-2.55674737875525,-4.08691724713004,2.03121153003935
2013-03-26,-0.52720134599,1.43068969993674,-3.6496539978127,-5.11136530245042,-2.46069689192395,-3.96240457711265,0.861613240455134
2013-03-27,-1.9638458069,1.48909075750525,-3.80736222446972,-5.3084612043625,-2.5696633595359,-4.11351205358603,1.19906272991649
