"Date","Return","Vol_GARCH","Vol_MSGARCH","Vol_GAS","VaR_GARCH_1","VaR_MSGARCH_1","VaR_GAS_1","ES_GARCH_1","ES_MSGARCH_1","ES_GAS_1","VaR_GARCH_5","VaR_MSGARCH_5","VaR_GAS_5","ES_GARCH_5","ES_MSGARCH_5","ES_GAS_5","RV_APPLE"
2012-12-06,1.5687306593,2.58165328289742,2.49794108076972,2.44180333934836,-6.07310434474255,-5.83856726358162,-5.70371347854963,-7.81541179149545,-7.7316852018913,-7.50609965536923,-3.79547441821723,-3.67153943808237,-3.64130563016454,-5.2069635313,-5.08322845583193,-5.07140895629333,10.1287912990905
2012-12-07,-2.5572664505,2.53741564271086,2.39154819412848,2.39495057971707,-5.96268762410812,-5.54252069912631,-5.59605654337646,-7.81541179149545,-7.10552022304545,-7.25829553215667,-3.72468924636053,-3.48044464100103,-3.57085098468458,-5.14378432395088,-4.90572690855333,-4.96943440528527,7.19073133342427
2012-12-10,-0.64305672768,2.54887038176084,2.53216140992116,2.46349205579402,-5.99104237831611,-5.73520507824372,-5.76008621698019,-7.81541179149545,-7.50609965536923,-7.576184346044,-3.74401625253419,-3.66050018457912,-3.67812432222898,-5.15631814525575,-5.07140895629333,-5.08322845583193,6.32514518268347
2012-12-11,2.1832094582,2.49157603506211,2.43001723259492,2.39142546889947,-5.85729675217872,-5.4962351179789,-5.58558419394464,-7.7316852018913,-7.10552022304545,-7.20460777275161,-3.65733406719356,-3.50542068185325,-3.56176350330554,-5.07140895629333,-4.91627080299701,-4.96943440528527,3.2568649161134
2012-12-12,-0.44108846159,2.47026576109254,2.3429609020433,2.39645754264175,-5.80771746734934,-5.41400222556852,-5.59494250165386,-7.65182915170417,-7.01122782036571,-7.25829553215667,-3.62604324929785,-3.38165074912224,-3.56855746347878,-5.0362930836561,-4.79451203291644,-4.96943440528527,3.30064320099759
2012-12-13,-1.7272727271,2.41588037270989,2.33107972272722,2.31964690429083,-5.67625619148559,-5.27030147526351,-5.41122940740261,-7.37622437183929,-6.96322700526944,-7.01122782036571,-3.54112916406269,-3.35693785010948,-3.44798854260877,-4.92675687848045,-4.78486673688231,-4.87434444820072,3.01325701941911
2012-12-14,-3.756159263,2.39547729411666,2.26322405580997,2.32564007961268,-5.62819538491689,-5.18642323720038,-5.42482298743767,-7.37622437183929,-6.91538255799189,-7.01122782036571,-3.51121071848842,-3.27054219156707,-3.45614582010142,-4.91627080299701,-4.74594651047881,-4.88471124929562,3.69672689431181
2012-12-17,1.772480649,2.49386677405299,2.50474006830206,2.4954768536362,-5.86320020602551,-5.6656160838787,-5.82955729220292,-7.7316852018913,-7.37622437183929,-7.7316852018913,-3.66918113963616,-3.6180213127985,-3.72675083856273,-5.07216954589167,-5.0259694238121,-5.13171801907304,5.81240149587402
2012-12-18,2.9046123007,2.45825158555996,2.42618183761216,2.46267486108741,-5.77857246642187,-5.57940051335312,-5.74826133647554,-7.65182915170417,-7.20460777275161,-7.50609965536923,-3.61560052195885,-3.52773402519974,-3.67510736366638,-5.0259694238121,-4.91802107537985,-5.07216954589167,2.98010984364307
2012-12-19,-1.4216145347,2.47228332871324,2.48590644936591,2.52147179264674,-5.80783556049043,-5.72613846860593,-5.88484166379624,-7.65182915170417,-7.50609965536923,-7.7316852018913,-3.63613373092288,-3.61844954636662,-3.76525237439286,-5.04888913544754,-5.0259694238121,-5.16874826791429,2.23541974242269
2012-12-20,-0.87017157175,2.43902128920245,2.43565315976391,2.49015408155454,-5.72759964126637,-5.60851140434021,-5.80847468374879,-7.50609965536923,-7.31530800592759,-7.65182915170417,-3.58487451730604,-3.53616987375123,-3.71573910120922,-4.97078472478682,-4.91802107537985,-5.10762444876581,2.33550646836099
2012-12-21,-0.46004620781,2.39186557912516,2.34779010555333,2.42769959473393,-5.6150525022322,-5.39960960632257,-5.65713763882924,-7.37622437183929,-7.01122782036571,-7.37622437183929,-3.5131587323302,-3.40508528926518,-3.61619057926028,-4.90767738418222,-4.80661336348552,-5.0259694238121,1.65950676201618
2012-12-24,0.16136175436,2.34130838768995,2.26006198469462,2.34805083856917,-5.49422977799297,-5.18201818816441,-5.47269495075552,-7.10552022304545,-6.91538255799189,-7.10552022304545,-3.43052947188294,-3.26360902423497,-3.49077183427888,-4.84524168872411,-4.737538292275,-4.90720387952667,0.711145254508665
2012-12-26,-1.3781124559,2.28638119412797,2.17171872502741,2.26444780599099,-5.36157238945576,-4.9733400697453,-5.26859668206329,-7.01122782036571,-6.66500716633023,-6.96322700526944,-3.34688434067977,-3.12730409813258,-3.35853751252541,-4.7862231387966,-4.66026093153812,-4.7862231387966,1.30812610168041
2012-12-27,0.40165731152,2.25977981207567,2.15148553987096,2.24823928941611,-5.29595742399623,-4.92676870705553,-5.22771616274079,-7.01122782036571,-6.58899600751778,-6.96322700526944,-3.30620078692735,-3.0967809355472,-3.3328236310478,-4.74726698121656,-4.63169828742393,-4.7862231387966,1.75399054457866
2012-12-28,-1.0621675144,2.20846725846672,2.09335114869074,2.16946918898082,-5.17055845236532,-4.7868588470581,-5.03763127158595,-6.86957134718158,-6.44748779562449,-6.70425977922143,-3.22575280254916,-3.00538817361949,-3.2089208424371,-4.71825818583312,-4.57596717740118,-4.70854370919935,1.05636660935845
2012-12-31,4.4317461987,2.1770247814391,2.07034199160694,2.13685388941005,-5.09270307756274,-4.73059265695574,-4.96149172306715,-6.70425977922143,-6.34914859886154,-6.66500716633023,-3.17632243328055,-2.96909426493447,-3.1585414872078,-4.68910499415732,-4.55749508577485,-4.68910499415732,3.85463182156424
2013-01-02,3.16759835,2.3216924712102,2.25969870479486,2.33519365616409,-5.44259034478358,-5.1901905202288,-5.44019099581778,-7.01122782036571,-6.91538255799189,-7.01122782036571,-3.39809965188908,-3.26392051528146,-3.46602382304073,-4.80552937404966,-4.737538292275,-4.89663807862868,2.32798010349097
2013-01-03,-1.2629728794,2.36018373961368,2.35388117137376,2.42228979303267,-5.53143354460759,-5.41533546571494,-5.6537220773927,-7.10552022304545,-7.01122782036571,-7.37622437183929,-3.4553337055629,-3.41319383147345,-3.60438658578954,-4.88616665864891,-4.84524168872411,-5.0146859356424,1.43399467183315
2013-01-04,-2.78472868,2.32769065614165,2.29811957248709,2.38601923640709,-5.45293436833531,-5.3232150027158,-5.56920632668168,-7.05720402998824,-7.01122782036571,-7.15379229224687,-3.40451164716539,-3.36280414515528,-3.54752707049301,-4.81529284391528,-4.7862231387966,-4.94936959339389,1.73064969026435
2013-01-07,-0.58823529398,2.36872555282206,2.40026418114193,2.46885448766209,-5.55187948065089,-5.53198548023092,-5.77753024516957,-7.10552022304545,-7.10552022304545,-7.65182915170417,-3.45659192232279,-3.48956459688632,-3.67087247270913,-4.89205216770368,-4.91333422618582,-5.08045889142689,3.15809214558826
2013-01-08,0.26913533093,2.31851221574304,2.30934295370051,2.39126053073824,-5.42406967339716,-5.32534893333847,-5.51103847916243,-7.01122782036571,-7.01122782036571,-7.10552022304545,-3.37973410500395,-3.34851162142439,-3.52376605148287,-4.80077524455172,-4.7910209861363,-4.9346387764553,2.41267136767811
2013-01-09,-1.5628866764,2.26521870693837,2.21723759798973,2.30740658241428,-5.29628608655491,-5.09650293688495,-5.38914300803086,-7.01122782036571,-6.70425977922143,-7.01122782036571,-3.29625145032125,-3.20620749414988,-3.42013412809129,-4.75167717824333,-4.71258790583571,-4.85066671916357,1.53437380516119
2013-01-10,1.2396054921,2.24584654181523,2.20896068982237,2.3014366261897,-5.25231782984445,-5.0772946198919,-5.37365185808007,-6.96322700526944,-6.70425977922143,-7.01122782036571,-3.26762425565701,-3.1700605170106,-3.41015478445006,-4.74185485429536,-4.69297273497115,-4.85066671916357,2.5761658561463
2013-01-11,-0.61316880283,2.20616069846963,2.1608159355904,2.22813215960897,-5.15675527545053,-4.9555856492492,-5.12241803338529,-6.86957134718158,-6.62627479450227,-6.70425977922143,-3.20799173905147,-3.09585672307658,-3.27237846568011,-4.71258790583571,-4.63506841619074,-4.75167717824333,1.21659939869402
2013-01-14,-3.5652508169,2.1627227783865,2.10477013550449,2.16144168235327,-5.05275206166475,-4.83491903818913,-4.96408000154297,-6.70425977922143,-6.51699052234255,-6.66500716633023,-3.14373375815072,-3.01695262563263,-3.16854457275572,-4.66387428691132,-4.57888521162857,-4.69297273497115,3.16912447949613
2013-01-15,-3.1549576483,2.2700784143375,2.26992721984534,2.35017398831157,-5.3135678174386,-5.21923397674664,-5.48889083365895,-7.01122782036571,-6.96322700526944,-7.10552022304545,-3.31462865919846,-3.28765408862709,-3.49440687160921,-4.76308740700134,-4.74382005002252,-4.91387456770672,3.03284076941052
2013-01-16,4.1508890352,2.33556111304996,2.40008138431912,2.46919604681737,-5.47190231386969,-5.51735065972486,-5.77491823304277,-7.10552022304545,-7.10552022304545,-7.65182915170417,-3.4158499878923,-3.48317498283099,-3.68026689241777,-4.84155029432482,-4.90334842315407,-5.09232652179237,1.96146014824347
2013-01-17,-0.67379319871,2.44035314044694,2.58270326174027,2.62873070993504,-5.72034699974604,-5.9410410219675,-6.15222402521117,-7.50609965536923,-7.81541179149545,-7.89562674806667,-3.57781188783256,-3.76194913594834,-3.92988352171187,-4.96687953579535,-5.16587690166696,-5.35698243201122,1.73980123954903
2013-01-18,-0.53314235702,2.38890527224264,2.47936546890158,2.54905784658375,-5.59990955857728,-5.69516895696788,-5.95928954511686,-7.25829553215667,-7.50609965536923,-7.81541179149545,-3.50027155180661,-3.60311965306006,-3.80309036913832,-4.91387456770672,-4.99966527633571,-5.24408360307075,0.873170310622465
2013-01-22,0.95400000009,2.33746349595941,2.37833379981904,2.46872096766765,-5.47813324357782,-5.461208323008,-5.7256436437279,-7.10552022304545,-7.05720402998824,-7.50609965536923,-3.4219106693316,-3.42944556925748,-3.67600166312825,-4.84155029432482,-4.84155029432482,-5.08045889142689,1.76048438831017
2013-01-23,1.8295461297,2.28837975724125,2.29844746622506,2.39395981294513,-5.36027803537087,-5.29251058842032,-5.49824736644865,-7.01122782036571,-7.01122782036571,-7.10552022304545,-3.34181685920208,-3.33329287152413,-3.54506396388373,-4.78268241355646,-4.78268241355646,-4.93479318706136,2.07135934718011
2013-01-24,-12.354938181,2.26544922152068,2.2765111707871,2.36824767050386,-5.30261263851065,-5.24398432968236,-5.52936324985849,-7.01122782036571,-6.96322700526944,-7.10552022304545,-3.30954543189244,-3.30300008748177,-3.52217047661324,-4.76308740700134,-4.74382005002252,-4.92434262638346,6.24490562894081
